"","loglik","k","seed","cpts","nit"
"1",-12472.4547994307,2,2,0,100
"2",-14284.100310001,2,2,0,100
"3",-13558.5125439859,2,2,0,100
"4",-11438.582323281,2,2,0,100
"5",-12631.1423649897,2,2,0,100
"6",-15235.979100965,2,2,0,100
"7",-16742.6688097265,2,2,0,100
"8",-15258.2031513438,2,2,0,100
"9",-13481.0687796807,2,2,0,100
"10",-12757.2638102366,2,2,0,100
"11",-14771.4742699612,2,2,0,100
"12",-13813.448230077,2,2,0,100
"13",-13486.8811927498,2,2,0,100
"14",-14839.6121595084,2,2,0,100
"15",-14128.6276856876,2,2,0,100
"16",-14196.8932954608,2,2,0,100
"17",-12113.7148735091,2,2,0,100
"18",-12680.8552861251,2,2,0,100
"19",-14331.0721524233,2,2,0,100
"20",-14827.2912967921,2,2,0,100
"21",-14498.9075330633,2,2,0,100
"22",-12334.3491620468,2,2,0,100
"23",-15310.5315945192,2,2,0,100
"24",-13877.9386246777,2,2,0,100
"25",-14323.6682577449,2,2,0,100
"26",-15189.1467013474,2,2,0,100
"27",-14981.5468258333,2,2,0,100
"28",-13893.448892015,2,2,0,100
"29",-13346.8628617272,2,2,0,100
"30",-12099.8497118786,2,2,0,100
"31",-14463.5420943949,2,2,0,100
"32",-12446.0771252071,2,2,0,100
"33",-14158.2268660564,2,2,0,100
"34",-13923.1161265193,2,2,0,100
"35",-15735.208567884,2,2,0,100
"36",-13513.3567090795,2,2,0,100
"37",-13937.251690514,2,2,0,100
"38",-15017.0096441949,2,2,0,100
"39",-14618.1284841013,2,2,0,100
"40",-15140.2991338392,2,2,0,100
"41",-14007.4305523195,2,2,0,100
"42",-15951.1216470563,2,2,0,100
"43",-14299.5814420589,2,2,0,100
"44",-15033.6938272449,2,2,0,100
"45",-14728.6232015808,2,2,0,100
"46",-12901.0584171802,2,2,0,100
"47",-14943.535340903,2,2,0,100
"48",-13239.0783699884,2,2,0,100
"49",-13725.7030770995,2,2,0,100
"50",-15453.5908631127,2,2,0,100
"51",-13980.2419864018,2,2,0,100
"52",-14197.4278435648,2,2,0,100
"53",-13641.1451304969,2,2,0,100
"54",-13198.2116612216,2,2,0,100
"55",-13707.4631870106,2,2,0,100
"56",-12444.2492979179,2,2,0,100
"57",-12828.2086265022,2,2,0,100
"58",-13685.1096892388,2,2,0,100
"59",-14460.709774406,2,2,0,100
"60",-13520.9151782425,2,2,0,100
"61",-14787.5042921339,2,2,0,100
"62",-12656.0111404143,2,2,0,100
"63",-14730.236936092,2,2,0,100
"64",-14773.6872239181,2,2,0,100
"65",-14579.7959316602,2,2,0,100
"66",-16437.6878645234,2,2,0,100
"67",-14014.5758589189,2,2,0,100
"68",-16859.9322476882,2,2,0,100
"69",-14742.7388683157,2,2,0,100
"70",-15309.1215346925,2,2,0,100
"71",-15065.5727310311,2,2,0,100
"72",-14671.6084574455,2,2,0,100
"73",-14291.4358709426,2,2,0,100
"74",-14165.3431868091,2,2,0,100
"75",-15967.1351556192,2,2,0,100
"76",-13138.6783195458,2,2,0,100
"77",-14140.1273372761,2,2,0,100
"78",-16720.9397578814,2,2,0,100
"79",-12741.5909768238,2,2,0,100
"80",-13318.2716552819,2,2,0,100
"81",-13183.4156720336,2,2,0,100
"82",-14681.0219692664,2,2,0,100
"83",-14234.4255651709,2,2,0,100
"84",-15263.3136257033,2,2,0,100
"85",-15475.1241495392,2,2,0,100
"86",-15150.5910957422,2,2,0,100
"87",-14975.4820542558,2,2,0,100
"88",-14192.6477801345,2,2,0,100
"89",-15352.5515051434,2,2,0,100
"90",-15597.148931537,2,2,0,100
"91",-14243.3139037768,2,2,0,100
"92",-14785.9517902488,2,2,0,100
"93",-14776.4770718874,2,2,0,100
"94",-15828.2388235536,2,2,0,100
"95",-15483.2267542704,2,2,0,100
"96",-13445.5304341613,2,2,0,100
"97",-14403.8735664654,2,2,0,100
"98",-13422.7778790953,2,2,0,100
"99",-16559.8209741216,2,2,0,100
"100",-13574.2951640713,2,2,0,100
"101",-21263.1770098188,3,2,0,100
"102",-22397.0997657714,3,2,0,100
"103",-24165.1527119675,3,2,0,100
"104",-20381.5351370162,3,2,0,100
"105",-24067.4613699804,3,2,0,100
"106",-21667.7721751782,3,2,0,100
"107",-22323.0257413414,3,2,0,100
"108",-22997.201715571,3,2,0,100
"109",-22114.456327149,3,2,0,100
"110",-23266.5257739519,3,2,0,100
"111",-22633.1593024882,3,2,0,100
"112",-21370.3845310513,3,2,0,100
"113",-19629.8454253153,3,2,0,100
"114",-18195.7472412946,3,2,0,100
"115",-25422.7229257374,3,2,0,100
"116",-24721.151047005,3,2,0,100
"117",-22840.5513498666,3,2,0,100
"118",-23929.6950980067,3,2,0,100
"119",-21088.9713912453,3,2,0,100
"120",-24888.3323339169,3,2,0,100
"121",-21402.8271576574,3,2,0,100
"122",-22401.489115574,3,2,0,100
"123",-22477.4227341368,3,2,0,100
"124",-23573.0083779888,3,2,0,100
"125",-22300.942652756,3,2,0,100
"126",-23527.4069335482,3,2,0,100
"127",-22329.1767443255,3,2,0,100
"128",-23477.6315024143,3,2,0,100
"129",-24168.7647613005,3,2,0,100
"130",-22325.2755198745,3,2,0,100
"131",-22363.5427886389,3,2,0,100
"132",-21654.6486402137,3,2,0,100
"133",-23888.6298874174,3,2,0,100
"134",-24206.7018122343,3,2,0,100
"135",-17814.8341198284,3,2,0,100
"136",-23189.9596520808,3,2,0,100
"137",-23336.4533783126,3,2,0,100
"138",-20116.9541034331,3,2,0,100
"139",-24974.0250559048,3,2,0,100
"140",-22224.9756671435,3,2,0,100
"141",-19133.1516861063,3,2,0,100
"142",-24252.5440824773,3,2,0,100
"143",-24701.9897360035,3,2,0,100
"144",-23922.4327147572,3,2,0,100
"145",-23810.6734935223,3,2,0,100
"146",-25763.4595295236,3,2,0,100
"147",-24127.7632908462,3,2,0,100
"148",-21525.6312788192,3,2,0,100
"149",-22182.0596230545,3,2,0,100
"150",-22348.2329038066,3,2,0,100
"151",-19205.0694883972,3,2,0,100
"152",-19476.1950562231,3,2,0,100
"153",-23866.2067398937,3,2,0,100
"154",-23667.9898620455,3,2,0,100
"155",-23730.9057415071,3,2,0,100
"156",-23270.4207881284,3,2,0,100
"157",-25629.7140266871,3,2,0,100
"158",-22380.8169670575,3,2,0,100
"159",-24603.850078071,3,2,0,100
"160",-21084.8969168973,3,2,0,100
"161",-23319.4631615546,3,2,0,100
"162",-19965.4515400545,3,2,0,100
"163",-23819.0557814214,3,2,0,100
"164",-21633.0741024844,3,2,0,100
"165",-22472.6297586696,3,2,0,100
"166",-23421.0099986975,3,2,0,100
"167",-20623.7405794132,3,2,0,100
"168",-23299.5820357564,3,2,0,100
"169",-22189.2244845982,3,2,0,100
"170",-25709.8304648136,3,2,0,100
"171",-24229.4766025051,3,2,0,100
"172",-22821.7236816668,3,2,0,100
"173",-23085.3499292647,3,2,0,100
"174",-24426.6705332772,3,2,0,100
"175",-24461.5682884278,3,2,0,100
"176",-23293.3043505976,3,2,0,100
"177",-22720.8063165363,3,2,0,100
"178",-23059.63425263,3,2,0,100
"179",-23072.9159396624,3,2,0,100
"180",-20768.5641871638,3,2,0,100
"181",-22653.7205290154,3,2,0,100
"182",-20678.9704313299,3,2,0,100
"183",-20249.1583949244,3,2,0,100
"184",-23973.0175858872,3,2,0,100
"185",-21808.5091829785,3,2,0,100
"186",-22005.9940113556,3,2,0,100
"187",-24459.5279834682,3,2,0,100
"188",-24281.8498717608,3,2,0,100
"189",-23079.4770167829,3,2,0,100
"190",-21670.5480845859,3,2,0,100
"191",-25188.7576246896,3,2,0,100
"192",-25825.1273268597,3,2,0,100
"193",-23057.4106662361,3,2,0,100
"194",-24101.4712947305,3,2,0,100
"195",-24147.4898511885,3,2,0,100
"196",-23979.4340800704,3,2,0,100
"197",-21977.691221712,3,2,0,100
"198",-24682.5172275258,3,2,0,100
"199",-21246.339783265,3,2,0,100
"200",-19417.0211784579,3,2,0,100
"201",-23302.6159145341,4,2,0,100
"202",-24438.1132063022,4,2,0,100
"203",-23223.5913125418,4,2,0,100
"204",-21843.7226344399,4,2,0,100
"205",-27939.1342723014,4,2,0,100
"206",-20773.2555613383,4,2,0,100
"207",-23172.2886275661,4,2,0,100
"208",-22312.1570305411,4,2,0,100
"209",-22779.5274923138,4,2,0,100
"210",-21911.6473881302,4,2,0,100
"211",-20402.4623943516,4,2,0,100
"212",-25196.8900433635,4,2,0,100
"213",-20516.5419107681,4,2,0,100
"214",-22199.0924007015,4,2,0,100
"215",-21457.3172440996,4,2,0,100
"216",-20313.4151556587,4,2,0,100
"217",-20813.040479376,4,2,0,100
"218",-24182.9400762674,4,2,0,100
"219",-20192.9110363805,4,2,0,100
"220",-21635.2696656097,4,2,0,100
"221",-21356.2860731487,4,2,0,100
"222",-23154.3311901037,4,2,0,100
"223",-23269.5805393472,4,2,0,100
"224",-21572.8463112536,4,2,0,100
"225",-22531.3825621847,4,2,0,100
"226",-21451.4776757975,4,2,0,100
"227",-20016.0418654999,4,2,0,100
"228",-20201.9838368181,4,2,0,100
"229",-22755.6907433456,4,2,0,100
"230",-24445.5117354717,4,2,0,100
"231",-23980.4354525443,4,2,0,100
"232",-21683.770655982,4,2,0,100
"233",-23090.0185949513,4,2,0,100
"234",-15489.4825572974,4,2,0,100
"235",-17815.6241604745,4,2,0,100
"236",-20505.8220909724,4,2,0,100
"237",-22538.1095553184,4,2,0,100
"238",-20974.6915838256,4,2,0,100
"239",-21285.5629311266,4,2,0,100
"240",-22912.1667470998,4,2,0,100
"241",-18600.9640273994,4,2,0,100
"242",-23289.5851312909,4,2,0,100
"243",-23511.538010035,4,2,0,100
"244",-20575.8843199834,4,2,0,100
"245",-23769.980139662,4,2,0,100
"246",-24040.3520154151,4,2,0,100
"247",-24685.0535941721,4,2,0,100
"248",-23932.6310761359,4,2,0,100
"249",-24155.4952419454,4,2,0,100
"250",-19535.163024156,4,2,0,100
"251",-23985.7947180405,4,2,0,100
"252",-25912.4192153722,4,2,0,100
"253",-22655.7253644593,4,2,0,100
"254",-22188.395429994,4,2,0,100
"255",-20526.5549735892,4,2,0,100
"256",-19144.2878888527,4,2,0,100
