"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,100,25,-223.151282232143,1,"1"
"2",2,2,0,100,25,-202.255623786959,1,"2"
"3",2,2,0,100,25,-162.654456329572,1,"3"
"4",2,2,0,100,25,-187.480447804431,1,"4"
"5",2,2,0,100,25,-163.304765750172,1,"5"
"6",2,2,0,100,25,-148.080011434871,1,"6"
"7",2,2,0,100,25,-174.165455646415,1,"7"
"8",2,2,0,100,25,-153.797781495366,1,"8"
"9",2,2,0,100,25,-150.202101825663,1,"9"
"10",2,2,0,100,25,-175.499076433387,1,"10"
"11",2,2,0,100,25,-140.029038165426,1,"11"
"12",2,2,0,100,25,-149.822857266262,1,"12"
"13",2,2,0,100,25,-157.061728092442,1,"13"
"14",2,2,0,100,25,-161.285180295045,1,"14"
"15",2,2,0,100,25,-142.594251618443,1,"15"
"16",2,2,0,100,25,-148.555287161546,1,"16"
"17",2,2,0,100,25,-151.53398968846,1,"17"
"18",2,2,0,100,25,-167.383917779194,1,"18"
"19",2,2,0,100,25,-138.054153404586,1,"19"
"20",2,2,0,100,25,-161.124369498466,1,"20"
"21",2,2,0,100,25,-185.633822968423,1,"21"
"22",2,2,0,100,25,-194.272620410149,1,"22"
"23",2,2,0,100,25,-168.29361809612,1,"23"
"24",2,2,0,100,25,-157.350939117467,1,"24"
"25",2,2,0,100,25,-158.156913359628,1,"25"
"26",2,2,1,100,25,-223.177085569234,1,"1"
"27",2,2,1,100,25,-201.876889844302,1,"2"
"28",2,2,1,100,25,-162.385272609587,1,"3"
"29",2,2,1,100,25,-187.242917660468,1,"4"
"30",2,2,1,100,25,-162.976862732556,1,"5"
"31",2,2,1,100,25,-147.838559535136,1,"6"
"32",2,2,1,100,25,-173.564464332003,1,"7"
"33",2,2,1,100,25,-153.814339335834,1,"8"
"34",2,2,1,100,25,-150.309049154011,1,"9"
"35",2,2,1,100,25,-175.541056949408,1,"10"
"36",2,2,1,100,25,-140.068873033774,1,"11"
"37",2,2,1,100,25,-149.888814213327,1,"12"
"38",2,2,1,100,25,-157.134394012133,1,"13"
"39",2,2,1,100,25,-161.328314380493,1,"14"
"40",2,2,1,100,25,-142.360848608673,1,"15"
"41",2,2,1,100,25,-148.677714247742,1,"16"
"42",2,2,1,100,25,-151.47495165167,1,"17"
"43",2,2,1,100,25,-167.072277455667,1,"18"
"44",2,2,1,100,25,-138.284792124186,1,"19"
"45",2,2,1,100,25,-160.387647554764,1,"20"
"46",2,2,1,100,25,-185.544884897911,1,"21"
"47",2,2,1,100,25,-194.05683712868,1,"22"
"48",2,2,1,100,25,-169.030195484574,1,"23"
"49",2,2,1,100,25,-157.270099336613,1,"24"
"50",2,2,1,100,25,-156.986593920411,1,"25"
