"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,100,50,-1194.70176291511,4,"8, 18, 3, 21"
"2",2,2,0,100,50,-1044.86438571265,4,"7, 2, 11, 18"
"3",2,2,0,100,50,-1300.17197382677,4,"6, 14, 11, 3"
"4",2,2,0,100,50,-1048.2692437393,4,"11, 22, 2, 17"
"5",2,2,0,100,50,-1155.65001178582,4,"12, 2, 17, 9"
"6",2,2,0,100,50,-1065.91166405482,4,"2, 18, 8, 15"
"7",2,2,0,100,50,-1251.1741597173,4,"6, 14, 17, 3"
"8",2,2,0,100,50,-1148.4652245131,4,"19, 23, 13, 5"
"9",2,2,0,100,50,-974.663197908219,4,"2, 11, 20, 7"
"10",2,2,0,100,50,-1120.54576912552,4,"23, 13, 17, 4"
"11",2,2,0,100,50,-1021.50071153484,4,"19, 6, 15, 12"
"12",2,2,0,100,50,-1292.46306241454,4,"1, 22, 6, 19"
"13",2,2,0,100,50,-1190.02462164922,4,"17, 7, 1, 23"
"14",2,2,0,100,50,-991.198715919548,4,"15, 18, 2, 12"
"15",2,2,0,100,50,-1140.24158305449,4,"23, 10, 19, 6"
"16",2,2,0,100,50,-1138.90761936644,4,"20, 9, 2, 17"
"17",2,2,0,100,50,-1209.37044065261,4,"9, 17, 3, 22"
"18",2,2,0,100,50,-1196.54823855181,4,"3, 10, 18, 13"
"19",2,2,0,100,50,-1253.39719005272,4,"2, 15, 11, 6"
"20",2,2,0,100,50,-1090.40234332596,4,"2, 7, 14, 17"
"21",2,2,0,100,50,-1089.1141352108,4,"10, 15, 5, 23"
"22",2,2,0,100,50,-1142.26217676482,4,"9, 22, 12, 5"
"23",2,2,0,100,50,-1007.0950526176,4,"14, 11, 2, 18"
"24",2,2,0,100,50,-1147.26137927042,4,"13, 10, 21, 6"
"25",2,2,0,100,50,-1070.21873031915,4,"15, 20, 23, 4"
"26",2,2,0,100,50,-1062.11337567352,4,"5, 15, 11, 18"
"27",2,2,0,100,50,-1272.01373403722,4,"16, 7, 13, 1"
"28",2,2,0,100,50,-1046.06899715833,4,"6, 21, 15, 2"
"29",2,2,0,100,50,-1136.8081503908,4,"14, 6, 18, 10"
"30",2,2,0,100,50,-1236.95861827833,4,"12, 6, 1, 20"
"31",2,2,0,100,50,-1103.55900812467,4,"10, 14, 17, 22"
"32",2,2,0,100,50,-1013.95042279447,4,"14, 5, 23, 11"
"33",2,2,0,100,50,-1088.96204317539,4,"3, 8, 14, 22"
"34",2,2,0,100,50,-1040.43597266615,4,"15, 20, 2, 6"
"35",2,2,0,100,50,-1152.62456139948,4,"13, 22, 3, 17"
"36",2,2,0,100,50,-1092.81081685619,4,"12, 19, 4, 23"
"37",2,2,0,100,50,-1330.85453639367,4,"20, 10, 1, 4"
"38",2,2,0,100,50,-1369.52307115618,4,"5, 1, 19, 8"
"39",2,2,0,100,50,-1020.92545061077,4,"18, 2, 23, 12"
"40",2,2,0,100,50,-1126.53929707947,4,"1, 11, 14, 20"
"41",2,2,0,100,50,-1173.25070551095,4,"17, 13, 2, 7"
"42",2,2,0,100,50,-991.508864832212,4,"3, 20, 7, 14"
"43",2,2,0,100,50,-1032.91661206494,4,"9, 20, 16, 12"
"44",2,2,0,100,50,-990.507995196948,4,"12, 20, 16, 5"
"45",2,2,0,100,50,-1110.20501952463,4,"19, 3, 15, 6"
"46",2,2,0,100,50,-1026.58611119368,4,"3, 15, 18, 12"
