"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,1,100,10,-538.161957639985,2,"8, 20"
"2",2,2,1,100,10,-534.618350406755,2,"22, 3"
"3",2,2,1,100,10,-527.226214077776,2,"18, 12"
"4",2,2,1,100,10,-451.930810766789,2,"7, 2"
"5",2,2,1,100,10,-528.432350612958,2,"5, 11"
"6",2,2,1,100,10,-516.117825911922,2,"11, 3"
"7",2,2,1,100,10,-459.442589620751,2,"11, 2"
"8",2,2,1,100,10,-465.625198430005,2,"12, 2"
"9",2,2,1,100,10,-549.742682496859,2,"7, 13"
"10",2,2,1,100,10,-458.616656292431,2,"11, 22"
"11",3,2,2,100,10,-612.182939438548,2,"8, 20"
"12",3,2,2,100,10,-662.084787098627,2,"22, 3"
"13",3,2,2,100,10,-589.509857252482,2,"18, 12"
"14",3,2,2,100,10,-568.700580254612,2,"7, 2"
"15",3,2,2,100,10,-440.152556115174,2,"5, 11"
"16",3,2,2,100,10,-635.523324198592,2,"11, 3"
"17",3,2,2,100,10,-394.617807684774,2,"11, 2"
"18",3,2,2,100,10,-390.460912401574,2,"12, 2"
"19",3,2,2,100,10,-526.055126022897,2,"7, 13"
"20",3,2,2,100,10,-422.20172955045,2,"11, 22"
"21",4,2,2,100,10,-600.964332988311,2,"8, 20"
"22",4,2,2,100,10,-669.272039922448,2,"22, 3"
"23",4,2,2,100,10,-507.716248544819,2,"18, 12"
"24",4,2,2,100,10,-580.14544970757,2,"7, 2"
"25",4,2,2,100,10,-435.304468444827,2,"5, 11"
"26",4,2,2,100,10,-626.986268091418,2,"11, 3"
"27",4,2,2,100,10,-395.106204486506,2,"11, 2"
"28",4,2,2,100,10,-388.064815698667,2,"12, 2"
"29",4,2,2,100,10,-564.282405889469,2,"7, 13"
"30",4,2,2,100,10,-431.045998091935,2,"11, 22"
"31",5,2,2,100,10,-526.143199451775,2,"8, 20"
"32",5,2,2,100,10,-582.700408366352,2,"22, 3"
"33",5,2,2,100,10,-485.450072349071,2,"18, 12"
"34",5,2,2,100,10,-596.689839358193,2,"7, 2"
"35",5,2,2,100,10,-508.404047958322,2,"5, 11"
"36",5,2,2,100,10,-718.614912816206,2,"11, 3"
"37",5,2,2,100,10,-406.883593372725,2,"11, 2"
"38",5,2,2,100,10,-400.374660163483,2,"12, 2"
"39",5,2,2,100,10,-524.611645028658,2,"7, 13"
"40",5,2,2,100,10,-428.975778417762,2,"11, 22"
"41",6,2,1,100,10,-600.228043600137,2,"8, 20"
"42",6,2,1,100,10,-597.285197893906,2,"22, 3"
"43",6,2,1,100,10,-588.791600932664,2,"18, 12"
"44",6,2,1,100,10,-575.433407673736,2,"7, 2"
"45",6,2,1,100,10,-563.754859881445,2,"5, 11"
"46",6,2,1,100,10,-687.302389961587,2,"11, 3"
"47",6,2,1,100,10,-472.088369587769,2,"11, 2"
"48",6,2,1,100,10,-475.511167642892,2,"12, 2"
"49",6,2,1,100,10,-617.188813596539,2,"7, 13"
"50",6,2,1,100,10,-501.329765963385,2,"11, 22"
"51",7,2,0,100,10,-629.306546474464,2,"8, 20"
"52",7,2,0,100,10,-665.057695651758,2,"22, 3"
"53",7,2,0,100,10,-581.814702008312,2,"18, 12"
"54",7,2,0,100,10,-628.8381676988,2,"7, 2"
"55",7,2,0,100,10,-645.355822312295,2,"5, 11"
"56",7,2,0,100,10,-715.739613534116,2,"11, 3"
"57",7,2,0,100,10,-567.040399853624,2,"11, 2"
"58",7,2,0,100,10,-561.88899491939,2,"12, 2"
"59",7,2,0,100,10,-543.211867911031,2,"7, 13"
"60",7,2,0,100,10,-549.370993891459,2,"11, 22"
"61",8,2,1,100,10,-578.586741864735,2,"8, 20"
"62",8,2,1,100,10,-632.322076360642,2,"22, 3"
"63",8,2,1,100,10,-597.109012240381,2,"18, 12"
"64",8,2,1,100,10,-570.072483332556,2,"7, 2"
"65",8,2,1,100,10,-543.706187933147,2,"5, 11"
"66",8,2,1,100,10,-742.434489535908,2,"11, 3"
"67",8,2,1,100,10,-477.552453038254,2,"11, 2"
"68",8,2,1,100,10,-471.78955255115,2,"12, 2"
"69",8,2,1,100,10,-624.183933144293,2,"7, 13"
"70",8,2,1,100,10,-523.696607895232,2,"11, 22"
"71",9,2,0,100,10,-637.057090034102,2,"8, 20"
