"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,100,32,-2495.30775089454,1,"1"
"2",2,2,0,100,32,-315.434221778964,1,"2"
"3",2,2,0,100,32,-585.192718025626,1,"3"
"4",2,2,0,100,32,-999.006081495528,1,"4"
"5",2,2,0,100,32,-5647.67985386408,1,"5"
"6",2,2,0,100,32,-2599.41300953601,1,"6"
"7",2,2,0,100,32,-17933.8477652224,1,"7"
"8",2,2,0,100,32,-25656.1254604881,1,"8"
"9",2,2,0,100,32,-6490.97261584825,1,"9"
"10",2,2,0,100,32,-6558.61200270436,1,"10"
"11",2,2,0,100,32,-809.235133091192,1,"11"
"12",2,2,0,100,32,-134.103107131067,1,"12"
"13",2,2,0,100,32,-519.988275123051,1,"13"
"14",2,2,0,100,32,-1273.31717729554,1,"14"
"15",2,2,0,100,32,-1716.42586518875,1,"15"
"16",2,2,0,100,32,-920.40187041119,1,"16"
"17",2,2,0,100,32,-360.130690432406,1,"17"
"18",2,2,0,100,32,-299.820100627099,1,"18"
"19",2,2,0,100,32,-370.175065593959,1,"19"
"20",2,2,0,100,32,-2420.99724922339,1,"20"
"21",2,2,0,100,32,-3019.90475911085,1,"21"
"22",2,2,0,100,32,-3000.90978492212,1,"22"
"23",2,2,0,100,32,-4404.97156126845,1,"23"
"24",2,2,0,100,32,-1616.05200523569,1,"24"
"25",2,2,0,100,32,-5791.77744616258,1,"25"
"26",2,2,0,100,32,-6.34946098411598,1,"26"
"27",2,2,0,100,32,-896.123559150318,1,"27"
"28",2,2,0,100,32,-4296.8766474316,1,"28"
"29",2,2,0,100,32,-15820.7119962834,1,"29"
"30",2,2,0,100,32,-2031.95712841052,1,"30"
"31",2,2,0,100,32,-5720.13889867899,1,"31"
"32",2,2,0,100,32,-106.918137035721,1,"32"
"33",3,2,0,100,32,-2471.56831825223,1,"1"
"34",3,2,0,100,32,-398.623273846145,1,"2"
"35",3,2,0,100,32,-863.915235902194,1,"3"
"36",3,2,0,100,32,-1839.11407886509,1,"4"
"37",3,2,0,100,32,-9689.14992863562,1,"5"
"38",3,2,0,100,32,-3513.90002281037,1,"6"
"39",3,2,0,100,32,-18189.1596330066,1,"7"
"40",3,2,0,100,32,-26328.7880517199,1,"8"
"41",3,2,0,100,32,-6662.06576055393,1,"9"
"42",3,2,0,100,32,-6525.66996481326,1,"10"
"43",3,2,0,100,32,-809.310141400634,1,"11"
"44",3,2,0,100,32,-133.97629805113,1,"12"
"45",3,2,0,100,32,-519.745691625589,1,"13"
"46",3,2,0,100,32,-1261.20394395019,1,"14"
"47",3,2,0,100,32,-1719.00020357262,1,"15"
"48",3,2,0,100,32,-911.783567718651,1,"16"
"49",3,2,0,100,32,-353.89010675936,1,"17"
"50",3,2,0,100,32,-299.677753511091,1,"18"
"51",3,2,0,100,32,-368.99176449391,1,"19"
"52",3,2,0,100,32,-2359.72829209152,1,"20"
"53",3,2,0,100,32,-2966.42911151542,1,"21"
"54",3,2,0,100,32,-2939.43543411502,1,"22"
"55",3,2,0,100,32,-4349.76585741194,1,"23"
"56",3,2,0,100,32,-1610.37510331833,1,"24"
"57",3,2,0,100,32,-5793.00898325295,1,"25"
"58",3,2,0,100,32,-6.23551743460175,1,"26"
"59",3,2,0,100,32,-854.50106224934,1,"27"
"60",3,2,0,100,32,-4358.00322653176,1,"28"
"61",3,2,0,100,32,-16242.7799678547,1,"29"
"62",3,2,0,100,32,-2090.32968718007,1,"30"
"63",3,2,0,100,32,-5853.73259821782,1,"31"
"64",3,2,0,100,32,-106.653057829353,1,"32"
