"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,100,33,-7634.32072613017,1,"1"
"2",2,2,0,100,33,-18910.9693086107,1,"2"
"3",2,2,0,100,33,-2676.96434363726,1,"3"
"4",2,2,0,100,33,-4540.60920271746,1,"4"
"5",2,2,0,100,33,-10617.6408894642,1,"5"
"6",2,2,0,100,33,-7093.53355535179,1,"6"
"7",2,2,0,100,33,-41726.7723982745,1,"7"
"8",2,2,0,100,33,-447.700948564696,1,"8"
"9",2,2,0,100,33,-807.221720892667,1,"9"
"10",2,2,0,100,33,-17072.6562704797,1,"10"
"11",2,2,0,100,33,-19325.0333414655,1,"11"
"12",2,2,0,100,33,-884.713776313063,1,"12"
"13",2,2,0,100,33,-4451.43804000621,1,"13"
"14",2,2,0,100,33,-33.3536451244364,1,"14"
"15",2,2,0,100,33,-2068.17476693204,1,"15"
"16",2,2,0,100,33,-3593.03171350054,1,"16"
"17",2,2,0,100,33,-47.3902283261952,1,"17"
"18",2,2,0,100,33,-2771.78440305459,1,"18"
"19",2,2,0,100,33,-842.244462147365,1,"19"
"20",2,2,0,100,33,-5149.71687046868,1,"20"
"21",2,2,0,100,33,-5244.43153971406,1,"21"
"22",2,2,0,100,33,-3575.89413817383,1,"22"
"23",2,2,0,100,33,-2784.15630151823,1,"23"
"24",2,2,0,100,33,-2046.02211771453,1,"24"
"25",2,2,0,100,33,-52.2764155889054,1,"25"
"26",2,2,0,100,33,-3237.4957365669,1,"26"
"27",2,2,0,100,33,-291.804263981677,1,"27"
"28",2,2,0,100,33,-1010.85416491171,1,"28"
"29",2,2,0,100,33,-853.456442535537,1,"29"
"30",2,2,0,100,33,-1077.61334820861,1,"30"
"31",2,2,0,100,33,-1558.85658125109,1,"31"
"32",2,2,0,100,33,-1098.47174540401,1,"32"
"33",2,2,0,100,33,-4768.73443998513,1,"33"
"34",3,2,0,100,33,-11135.1945826549,1,"1"
"35",3,2,0,100,33,-41606.074543588,1,"2"
"36",3,2,0,100,33,-6903.19616587136,1,"3"
"37",3,2,0,100,33,-5201.96159073913,1,"4"
"38",3,2,0,100,33,-12426.185998097,1,"5"
"39",3,2,0,100,33,-7586.41444078679,1,"6"
"40",3,2,0,100,33,-42121.3662403087,1,"7"
"41",3,2,0,100,33,-405.661032467929,1,"8"
"42",3,2,0,100,33,-848.350612176682,1,"9"
"43",3,2,0,100,33,-19135.9889543007,1,"10"
"44",3,2,0,100,33,-20350.8351910635,1,"11"
"45",3,2,0,100,33,-1003.1488790156,1,"12"
"46",3,2,0,100,33,-4483.59344903583,1,"13"
"47",3,2,0,100,33,-35.9965091660099,1,"14"
"48",3,2,0,100,33,-1088.93966866022,1,"15"
"49",3,2,0,100,33,-2534.05579706455,1,"16"
"50",3,2,0,100,33,-40.3405436020252,1,"17"
"51",3,2,0,100,33,-1989.27804105758,1,"18"
"52",3,2,0,100,33,-756.269153562433,1,"19"
"53",3,2,0,100,33,-4127.73939880948,1,"20"
"54",3,2,0,100,33,-4173.81357493228,1,"21"
"55",3,2,0,100,33,-2721.38721455418,1,"22"
"56",3,2,0,100,33,-2099.2016084254,1,"23"
"57",3,2,0,100,33,-1515.22146154987,1,"24"
"58",3,2,0,100,33,-41.7080578486263,1,"25"
"59",3,2,0,100,33,-2551.79315705529,1,"26"
"60",3,2,0,100,33,-236.38609056214,1,"27"
"61",3,2,0,100,33,-835.297850419366,1,"28"
"62",3,2,0,100,33,-716.481522160087,1,"29"
"63",3,2,0,100,33,-1018.28937016694,1,"30"
"64",3,2,0,100,33,-1316.95860168989,1,"31"
"65",3,2,0,100,33,-938.846082478834,1,"32"
"66",3,2,0,100,33,-3866.86470305228,1,"33"
"67",4,2,0,100,33,-10472.2748850367,1,"1"
"68",4,2,0,100,33,-48449.5205899743,1,"2"
"69",4,2,0,100,33,-7840.71103207162,1,"3"
"70",4,2,0,100,33,-5272.62936530134,1,"4"
"71",4,2,0,100,33,-12209.0810871626,1,"5"
"72",4,2,0,100,33,-7736.95461988509,1,"6"
"73",4,2,0,100,33,-42378.6418192893,1,"7"
"74",4,2,0,100,33,-409.099004617031,1,"8"
"75",4,2,0,100,33,-851.254212493327,1,"9"
"76",4,2,0,100,33,-19031.7406524296,1,"10"
"77",4,2,0,100,33,-20474.193798479,1,"11"
"78",4,2,0,100,33,-1016.96011989231,1,"12"
"79",4,2,0,100,33,-4534.2789899616,1,"13"
"80",4,2,0,100,33,-34.5817102053884,1,"14"
"81",4,2,0,100,33,-1047.99687040957,1,"15"
"82",4,2,0,100,33,-2497.5776899451,1,"16"
"83",4,2,0,100,33,-38.2748112125669,1,"17"
"84",4,2,0,100,33,-1954.38893376887,1,"18"
"85",4,2,0,100,33,-677.930481658718,1,"19"
"86",4,2,0,100,33,-4093.59821619791,1,"20"
"87",4,2,0,100,33,-4138.71773089247,1,"21"
"88",4,2,0,100,33,-2440.6785919458,1,"22"
"89",4,2,0,100,33,-2149.33981289482,1,"23"
"90",4,2,0,100,33,-1544.46994008292,1,"24"
"91",4,2,0,100,33,-43.1806900525267,1,"25"
"92",4,2,0,100,33,-2614.52871480142,1,"26"
"93",4,2,0,100,33,-243.109287829742,1,"27"
"94",4,2,0,100,33,-838.143437846932,1,"28"
"95",4,2,0,100,33,-705.710015951145,1,"29"
"96",4,2,0,100,33,-1019.94559979727,1,"30"
"97",4,2,0,100,33,-1259.77461131189,1,"31"
"98",4,2,0,100,33,-927.074700968452,1,"32"
"99",4,2,0,100,33,-3871.90821176338,1,"33"
"100",5,2,0,100,33,-10624.3169817613,1,"1"
"101",5,2,0,100,33,-49819.2261060054,1,"2"
"102",5,2,0,100,33,-8004.72566608215,1,"3"
"103",5,2,0,100,33,-5184.90174796373,1,"4"
"104",5,2,0,100,33,-12213.3244015156,1,"5"
"105",5,2,0,100,33,-7810.08460874749,1,"6"
"106",5,2,0,100,33,-42545.2184731945,1,"7"
"107",5,2,0,100,33,-427.697745330598,1,"8"
"108",5,2,0,100,33,-860.233122654963,1,"9"
"109",5,2,0,100,33,-19184.9224775571,1,"10"
"110",5,2,0,100,33,-20568.8729379897,1,"11"
"111",5,2,0,100,33,-1060.29469210077,1,"12"
"112",5,2,0,100,33,-4722.4771919688,1,"13"
"113",5,2,0,100,33,-34.3383974309463,1,"14"
"114",5,2,0,100,33,-1019.43802353073,1,"15"
"115",5,2,0,100,33,-2469.99372041303,1,"16"
"116",5,2,0,100,33,-37.9882320120571,1,"17"
"117",5,2,0,100,33,-1965.3112989321,1,"18"
"118",5,2,0,100,33,-670.58281121745,1,"19"
"119",5,2,0,100,33,-4088.07738005581,1,"20"
"120",5,2,0,100,33,-4135.65363590016,1,"21"
"121",5,2,0,100,33,-2421.62755156873,1,"22"
"122",5,2,0,100,33,-2147.7031673694,1,"23"
"123",5,2,0,100,33,-1544.81541880911,1,"24"
"124",5,2,0,100,33,-43.1939038976774,1,"25"
"125",5,2,0,100,33,-2615.65448454545,1,"26"
"126",5,2,0,100,33,-243.120460343496,1,"27"
"127",5,2,0,100,33,-838.090549972662,1,"28"
"128",5,2,0,100,33,-705.121547665741,1,"29"
"129",5,2,0,100,33,-1022.09523945275,1,"30"
"130",5,2,0,100,33,-1257.26945137787,1,"31"
"131",5,2,0,100,33,-928.085721730797,1,"32"
"132",5,2,0,100,33,-3869.75316463199,1,"33"
"133",2,4,0,100,33,-10766.2852745665,1,"1"
"134",2,4,0,100,33,-40247.993855195,1,"2"
"135",2,4,0,100,33,-6730.1019753649,1,"3"
"136",2,4,0,100,33,-4904.67503715465,1,"4"
"137",2,4,0,100,33,-10503.6134347402,1,"5"
"138",2,4,0,100,33,-5797.9802363917,1,"6"
"139",2,4,0,100,33,-33051.7967262281,1,"7"
"140",2,4,0,100,33,-403.482674758132,1,"8"
"141",2,4,0,100,33,-786.168290334632,1,"9"
"142",2,4,0,100,33,-16447.9392395628,1,"10"
"143",2,4,0,100,33,-16947.5678893871,1,"11"
"144",2,4,0,100,33,-1017.38239473731,1,"12"
"145",2,4,0,100,33,-4600.90047360267,1,"13"
"146",2,4,0,100,33,-36.3307377689293,1,"14"
"147",2,4,0,100,33,-1081.79219950963,1,"15"
"148",2,4,0,100,33,-2565.36335506826,1,"16"
"149",2,4,0,100,33,-41.1247963384483,1,"17"
"150",2,4,0,100,33,-2011.30206453866,1,"18"
"151",2,4,0,100,33,-775.982028772361,1,"19"
"152",2,4,0,100,33,-4147.40282585251,1,"20"
"153",2,4,0,100,33,-4186.34083747083,1,"21"
"154",2,4,0,100,33,-2789.50646140934,1,"22"
"155",2,4,0,100,33,-2102.8183863941,1,"23"
"156",2,4,0,100,33,-1524.85515927821,1,"24"
"157",2,4,0,100,33,-42.0245045558157,1,"25"
"158",2,4,0,100,33,-2542.17324603326,1,"26"
"159",2,4,0,100,33,-235.685678354117,1,"27"
"160",2,4,0,100,33,-839.936836022732,1,"28"
"161",2,4,0,100,33,-724.59118023122,1,"29"
"162",2,4,0,100,33,-1027.03146171024,1,"30"
"163",2,4,0,100,33,-1343.58427291782,1,"31"
"164",2,4,0,100,33,-949.363424459991,1,"32"
"165",2,4,0,100,33,-3890.41524122692,1,"33"
"166",3,4,0,100,33,-8800.43822983126,1,"1"
"167",3,4,0,100,33,-37143.2332743703,1,"2"
"168",3,4,0,100,33,-6157.5038930208,1,"3"
"169",3,4,0,100,33,-5730.64152228769,1,"4"
"170",3,4,0,100,33,-11587.5238794358,1,"5"
"171",3,4,0,100,33,-7007.31000309108,1,"6"
"172",3,4,0,100,33,-38981.5665613162,1,"7"
"173",3,4,0,100,33,-442.245882755714,1,"8"
"174",3,4,0,100,33,-882.633808822497,1,"9"
"175",3,4,0,100,33,-18041.2776149617,1,"10"
"176",3,4,0,100,33,-19429.7937640983,1,"11"
"177",3,4,0,100,33,-1000.22098871976,1,"12"
"178",3,4,0,100,33,-5374.67197384162,1,"13"
"179",3,4,0,100,33,-32.3194112351209,1,"14"
"180",3,4,0,100,33,-1176.78203222121,1,"15"
"181",3,4,0,100,33,-2369.07481060891,1,"16"
"182",3,4,0,100,33,-38.3942220427306,1,"17"
"183",3,4,0,100,33,-2099.23716850464,1,"18"
"184",3,4,0,100,33,-669.061399850309,1,"19"
"185",3,4,0,100,33,-4197.91700588118,1,"20"
"186",3,4,0,100,33,-4376.22051552907,1,"21"
"187",3,4,0,100,33,-2533.47447142529,1,"22"
"188",3,4,0,100,33,-2253.65836878594,1,"23"
"189",3,4,0,100,33,-1542.20055235086,1,"24"
"190",3,4,0,100,33,-43.8728545889304,1,"25"
"191",3,4,0,100,33,-2668.64285914689,1,"26"
"192",3,4,0,100,33,-232.597134551753,1,"27"
"193",3,4,0,100,33,-848.513566531906,1,"28"
"194",3,4,0,100,33,-731.395450786495,1,"29"
