"k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps","dataset"
2,2,1,500,20,-531.134760725208,2,"8, 20","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-514.712818859024,2,"22, 3","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-522.999826430786,2,"18, 12","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-454.109362097618,2,"7, 2","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-521.422258787941,2,"5, 11","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-522.235242757825,2,"11, 3","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-454.117088741068,2,"11, 2","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-464.43709417413,2,"12, 2","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-529.592307244449,2,"7, 13","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-461.511075800703,2,"11, 22","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-444.304622254863,2,"22, 2","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-525.645219557776,2,"15, 5","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-481.265701614401,2,"6, 16","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-516.448977669678,2,"11, 18","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-458.541318467843,2,"21, 2","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-543.880906578215,2,"8, 19","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-519.819912665414,2,"20, 13","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-502.840377449049,2,"14, 4","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-493.947114788889,2,"19, 6","all_evals_bbs_rtrg_1_11"
2,2,1,500,20,-619.232133267609,2,"12, 1","all_evals_bbs_rtrg_1_11"
3,2,2,500,20,-562.564761910098,2,"8, 20","all_evals_bbs_rtrg_1_11"
3,2,2,500,20,-633.883625614423,2,"22, 3","all_evals_bbs_rtrg_1_11"
3,2,2,500,20,-588.911035457475,2,"18, 12","all_evals_bbs_rtrg_1_11"
