"k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps","dataset"
2,4,3,100,20,-83.5663357325794,2,"296, 246","all_evals_toy_rodents"
2,4,3,100,20,-64.4253750571492,2,"344, 227","all_evals_toy_rodents"
2,4,3,100,20,-122.655777579379,2,"434, 212","all_evals_toy_rodents"
2,4,3,100,20,-71.0580662310657,2,"236, 61","all_evals_toy_rodents"
2,4,3,100,20,-37.725167020192,2,"167, 379","all_evals_toy_rodents"
2,4,3,100,20,-69.611312355578,2,"250, 215","all_evals_toy_rodents"
2,4,3,100,20,-96.3952132117771,2,"253, 359","all_evals_toy_rodents"
2,4,3,100,20,-61.9751682427086,2,"165, 363","all_evals_toy_rodents"
2,4,3,100,20,-60.5813531542642,2,"267, 301","all_evals_toy_rodents"
2,4,3,100,20,-91.5192162161405,2,"342, 35","all_evals_toy_rodents"
2,4,3,100,20,-54.9775916785776,2,"331, 376","all_evals_toy_rodents"
2,4,3,100,20,-88.2470852133124,2,"418, 411","all_evals_toy_rodents"
2,4,3,100,20,-53.4011355081597,2,"364, 66","all_evals_toy_rodents"
2,4,3,100,20,-99.7612787762493,2,"359, 296","all_evals_toy_rodents"
2,4,3,100,20,-58.6167706130077,2,"171, 246","all_evals_toy_rodents"
2,4,3,100,20,-52.054950939827,2,"214, 93","all_evals_toy_rodents"
2,4,3,100,20,-79.1527584786722,2,"303, 219","all_evals_toy_rodents"
2,4,3,100,20,-51.9224188538351,2,"313, 38","all_evals_toy_rodents"
2,4,3,100,20,-57.1243422142589,2,"54, 285","all_evals_toy_rodents"
2,4,3,100,20,-59.9225994797194,2,"94, 176","all_evals_toy_rodents"
3,4,3,100,20,-78.6871807629117,2,"296, 246","all_evals_toy_rodents"
3,4,3,100,20,-67.6065317049589,2,"344, 227","all_evals_toy_rodents"
3,4,3,100,20,-128.447989535244,2,"434, 212","all_evals_toy_rodents"
3,4,3,100,20,-71.9369299346602,2,"236, 61","all_evals_toy_rodents"
3,4,3,100,20,-38.3419347499518,2,"167, 379","all_evals_toy_rodents"
3,4,3,100,20,-73.2242442857199,2,"250, 215","all_evals_toy_rodents"
3,4,3,100,20,-87.2854964928506,2,"253, 359","all_evals_toy_rodents"
3,4,3,100,20,-61.1518625554398,2,"165, 363","all_evals_toy_rodents"
3,4,3,100,20,-57.345475971051,2,"267, 301","all_evals_toy_rodents"
3,4,3,100,20,-105.045652910629,2,"342, 35","all_evals_toy_rodents"
3,4,3,100,20,-49.152995133639,2,"331, 376","all_evals_toy_rodents"
3,4,3,100,20,-61.6991326993179,2,"418, 411","all_evals_toy_rodents"
3,4,3,100,20,-50.8521212105239,2,"364, 66","all_evals_toy_rodents"
3,4,3,100,20,-93.0179816519449,2,"359, 296","all_evals_toy_rodents"
3,4,3,100,20,-50.6853489006137,2,"171, 246","all_evals_toy_rodents"
3,4,3,100,20,-49.237900927727,2,"214, 93","all_evals_toy_rodents"
3,4,3,100,20,-75.8258355271355,2,"303, 219","all_evals_toy_rodents"
3,4,3,100,20,-49.2394144330059,2,"313, 38","all_evals_toy_rodents"
3,4,3,100,20,-52.6369033531021,2,"54, 285","all_evals_toy_rodents"
3,4,3,100,20,-57.2989363507563,2,"94, 176","all_evals_toy_rodents"
4,4,4,100,20,-75.0274911624945,2,"296, 246","all_evals_toy_rodents"
4,4,4,100,20,-57.1288045160179,2,"344, 227","all_evals_toy_rodents"
4,4,4,100,20,-126.794203155848,2,"434, 212","all_evals_toy_rodents"
4,4,4,100,20,-63.2779668996103,2,"236, 61","all_evals_toy_rodents"
4,4,4,100,20,-41.9142072111151,2,"167, 379","all_evals_toy_rodents"
4,4,4,100,20,-58.9446777260324,2,"250, 215","all_evals_toy_rodents"
4,4,4,100,20,-79.7081412526261,2,"253, 359","all_evals_toy_rodents"
4,4,4,100,20,-61.3264956518097,2,"165, 363","all_evals_toy_rodents"
4,4,4,100,20,-50.9230484064016,2,"267, 301","all_evals_toy_rodents"
4,4,4,100,20,-97.4527248880618,2,"342, 35","all_evals_toy_rodents"
4,4,4,100,20,-51.1010613891837,2,"331, 376","all_evals_toy_rodents"
4,4,4,100,20,-58.0009542210944,2,"418, 411","all_evals_toy_rodents"
4,4,4,100,20,-56.9817494311391,2,"364, 66","all_evals_toy_rodents"
4,4,4,100,20,-80.6032664674089,2,"359, 296","all_evals_toy_rodents"
4,4,4,100,20,-47.4718479693397,2,"171, 246","all_evals_toy_rodents"
4,4,4,100,20,-43.9774550675476,2,"214, 93","all_evals_toy_rodents"
4,4,4,100,20,-70.9285344614961,2,"303, 219","all_evals_toy_rodents"
4,4,4,100,20,-43.1541302942447,2,"313, 38","all_evals_toy_rodents"
4,4,4,100,20,-49.2655394298871,2,"54, 285","all_evals_toy_rodents"
