"","Route","StateNum","matssname","complete","n_missing","prop_missing","n_possible_years","CountryNum","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID"
"1",63,4,"bbs_rtrg_63_4",TRUE,0,0,25,124,"CARDINAL LK",1,56.27611,-117.82119,29,6,1,1
"2",128,4,"bbs_rtrg_128_4",TRUE,0,0,25,124,"BRUCE",1,53.10505,-112.14825,30,11,1,1
"3",129,4,"bbs_rtrg_129_4",TRUE,0,0,24,124,"HAY LAKES",0,53.11978,-113.1229,30,11,1,1
"4",131,4,"bbs_rtrg_131_4",TRUE,0,0,19,124,"MACKAY",1,53.77362,-115.61189,29,6,1,1
"5",209,4,"bbs_rtrg_209_4",TRUE,0,0,12,124,"ENSIGN",1,50.48464,-113.39021,38,11,1,1
"6",213,4,"bbs_rtrg_213_4",TRUE,0,0,25,124,"CRAWLING VALLEY",1,51.18333,-112.33055,37,11,1,1
"7",306,4,"bbs_rtrg_306_4",TRUE,0,0,11,124,"Roseglen",1,50.55749,-110.32547,38,11,1,1
"8",404,4,"bbs_rtrg_404_4",TRUE,0,0,13,124,"TROUT CREEK",1,49.875772,-114.079114,30,10,1,1
"9",311,11,"bbs_rtrg_311_11",TRUE,0,0,10,124,"COQUITLAM",0,49.24412,-122.68952,94,5,1,1
"10",430,11,"bbs_rtrg_430_11",TRUE,0,0,14,124,"SUCCOUR CR.",1,51.71637,-117.52988,64,10,1,1
"11",614,11,"bbs_rtrg_614_11",TRUE,0,0,13,124,"Mt. Washington",1,49.64242,-125.09807,94,5,1,1
"12",721,11,"bbs_rtrg_721_11",TRUE,0,0,12,124,"LOWER NICOLA",1,50.13425,-120.9503,64,9,1,1
"13",102,45,"bbs_rtrg_102_45",TRUE,0,0,30,124,"GRUNTHAL",1,49.56482,-96.88941,40,6,1,1
"14",203,45,"bbs_rtrg_203_45",TRUE,0,0,18,124,"GRETNA",1,49.10385,-97.84131,40,11,1,1
"15",307,45,"bbs_rtrg_307_45",TRUE,0,0,12,124,"Hilton",1,49.48794,-99.81088,30,11,1,1
"16",313,45,"bbs_rtrg_313_45",TRUE,0,0,11,124,"Lac du Bonnet",1,50.14935,-96.17788,29,12,1,1
"17",17,56,"bbs_rtrg_17_56",TRUE,0,0,14,124,"PLASTER ROCK",0,46.91322,-67.18408,28,14,1,1
"18",41,56,"bbs_rtrg_41_56",TRUE,0,0,53,124,"HAMPTON",1,45.63438,-65.79995,28,14,1,1
"19",44,56,"bbs_rtrg_44_56",TRUE,0,0,44,124,"WASHADEMOAK",0,45.71386,-65.94536,28,14,1,1
"20",117,65,"bbs_rtrg_117_65",TRUE,0,0,21,124,"SHUBENACADIE",1,45.29564,-63.44884,28,14,1,1
"21",13,68,"bbs_rtrg_13_68",TRUE,0,0,10,124,"PERTH",0,44.79355,-76.27372,18,13,1,1
"22",15,68,"bbs_rtrg_15_68",TRUE,0,0,52,124,"ROBLIN",1,44.35414,-77.00984,18,13,1,1
"23",22,68,"bbs_rtrg_22_68",TRUE,0,0,51,124,"PAISLEY",1,44.3202,-81.23315,18,13,1,1
