"newmoon","sin_year","cos_year"
1,-0.247,-0.969
2,-0.6808,-0.7325
3,-0.9537,-0.3008
4,-0.9813,0.1925
5,-0.7583,0.6519
6,-0.3537,0.9354
7,0.1373,0.9905
8,0.6085,0.7936
9,0.9141,0.4054
10,0.9951,-0.0988
11,0.8264,-0.5632
12,0.4405,-0.8977
13,-0.0602,-0.9982
14,-0.5307,-0.8475
15,-0.88,-0.475
16,-1,0.0043
17,-0.8675,0.4975
18,-0.5087,0.861
20,0.4482,0.8939
21,0.8312,0.556
22,0.9959,0.0903
23,0.9106,-0.4133
24,0.6016,-0.7988
25,0.1287,-0.9917
26,-0.3617,-0.9323
27,-0.7749,-0.6321
28,-0.9859,-0.1671
29,-0.9456,0.3253
30,-0.6616,0.7498
32,0.2877,0.9577
33,0.7221,0.6918
34,0.9648,0.263
35,0.9733,-0.2297
36,0.7339,-0.6793
37,0.3204,-0.9473
38,-0.1708,-0.9853
39,-0.634,-0.7734
40,-0.9327,-0.3608
41,-0.9917,0.1284
42,-0.7998,0.6002
43,-0.4005,0.9163
44,0.1031,0.9947
45,0.5667,0.8239
46,0.8996,0.4367
48,0.8543,-0.5197
49,0.4863,-0.8738
50,0.0086,-1
51,-0.4712,-0.882
52,-0.8452,-0.5344
53,-0.9979,-0.0645
54,-0.8996,0.4367
55,-0.5667,0.8239
56,-0.086,0.9963
57,0.4015,0.9159
58,0.8014,0.5982
59,0.9922,0.1245
60,0.9307,-0.3657
61,0.6421,-0.7667
62,0.1798,-0.9837
63,-0.3131,-0.9497
64,-0.7296,-0.6839
65,-0.9721,-0.2345
67,-0.7117,0.7025
69,0.2219,0.9751
70,0.6744,0.7383
71,0.9511,0.309
72,0.9796,-0.2009
73,0.7639,-0.6453
74,0.3617,-0.9323
75,-0.1458,-0.9893
76,-0.6016,-0.7988
77,-0.9106,-0.4133
78,-0.9959,0.0903
79,-0.8312,0.556
80,-0.4482,0.8939
82,0.5221,0.8529
83,0.8745,0.4851
84,1,-0.0086
86,0.5221,-0.8529
87,0.0515,-0.9987
88,-0.4471,-0.8945
89,-0.82,-0.5724
90,-0.9938,-0.1114
91,-0.9197,0.3926
93,-0.1539,0.9881
94,0.3375,0.9413
95,0.7583,0.6519
96,0.9813,0.1925
98,0.6808,-0.7325
99,0.2303,-0.9731
100,-0.2637,-0.9646
101,-0.7056,-0.7086
102,-0.9587,-0.2844
103,-0.9778,0.2093
104,-0.747,0.6649
105,-0.3375,0.9413
108,0.9275,0.3737
109,0.9933,-0.1159
110,0.8065,-0.5913
111,0.4094,-0.9124
112,-0.0774,-0.997
113,-0.5596,-0.8288
114,-0.8958,-0.4444
115,-0.9993,0.0387
116,-0.8588,0.5124
117,-0.4938,0.8696
119,0.4787,0.878
120,0.8406,0.5416
121,0.9984,0.0559
122,0.9034,-0.4289
123,0.5738,-0.819
124,0.1117,-0.9937
125,-0.3936,-0.9193
126,-0.7962,-0.6051
127,-0.9887,-0.1501
128,-0.9338,0.3577
129,-0.6486,0.7611
131,0.3041,0.9526
132,0.7339,0.6793
133,0.9692,0.2464
134,0.9648,-0.263
135,0.7221,-0.6918
136,0.2877,-0.9577
137,-0.2046,-0.9789
138,-0.6602,-0.7511
139,-0.9387,-0.3447
140,-0.9867,0.1624
141,-0.7788,0.6273
142,-0.3847,0.9231
143,0.1202,0.9927
144,0.5947,0.8039
145,0.907,0.4211
146,0.9979,-0.0645
147,0.8359,-0.5488
148,0.4712,-0.882
149,-0.0086,-1
150,-0.5012,-0.8653
151,-0.8543,-0.5197
152,-0.9995,-0.0301
153,-0.8841,0.4674
154,-0.538,0.8429
155,-0.0688,0.9976
156,0.4328,0.9015
157,0.8215,0.5702
158,0.9942,0.1074
159,0.9243,-0.3817
160,0.6153,-0.7883
161,0.1628,-0.9867
162,-0.3294,-0.9442
163,-0.7527,-0.6584
164,-0.976,-0.2177
165,-0.9562,0.2926
166,-0.6871,0.7266
167,-0.2554,0.9668
168,0.2554,0.9668
169,0.6995,0.7147
170,0.9611,0.2761
171,0.976,-0.2177
172,0.7527,-0.6584
173,0.3294,-0.9442
174,-0.1628,-0.9867
175,-0.6153,-0.7883
176,-0.9243,-0.3817
177,-0.9942,0.1074
178,-0.8115,0.5843
179,-0.4328,0.9015
180,0.0686,0.9976
181,0.5511,0.8344
182,0.8906,0.4548
183,0.9997,-0.0257
184,0.8573,-0.5148
185,0.5074,-0.8617
186,0.0172,-0.9999
187,-0.4624,-0.8867
188,-0.8297,-0.5582
189,-0.997,-0.0772
190,-0.9128,0.4083
192,-0.1369,0.9906
193,0.3697,0.9291
194,0.7803,0.6254
195,0.9873,0.1586
196,0.9428,-0.3335
197,0.6552,-0.7555
198,0.2135,-0.9769
199,-0.2967,-0.955
200,-0.7177,-0.6964
201,-0.9635,-0.2678
202,-0.9701,0.2428
203,-0.7354,0.6776
204,-0.3049,0.9524
205,0.1882,0.9821
206,0.6486,0.7611
207,0.9399,0.3416
208,0.9887,-0.1501
209,0.7856,-0.6187
210,0.3777,-0.9259
211,-0.1117,-0.9937
212,-0.5878,-0.809
213,-0.9034,-0.4289
214,-0.9984,0.0559
215,-0.8406,0.5416
216,-0.4787,0.878
217,0.0172,0.9999
218,0.4938,0.8696
219,0.8588,0.5124
220,0.9993,0.0387
221,0.8881,-0.4597
222,0.5452,-0.8383
223,0.0774,-0.997
224,-0.425,-0.9052
225,-0.8065,-0.5913
226,-0.9933,-0.1159
227,-0.9275,0.3737
228,-0.622,0.783
229,-0.1713,0.9852
230,0.3366,0.9416
231,0.7454,0.6666
232,0.9771,0.2129
233,0.9601,-0.2795
234,0.6979,-0.7162
235,0.2712,-0.9625
236,-0.238,-0.9713
237,-0.6855,-0.728
238,-0.95,-0.3123
239,-0.9806,0.1961
240,-0.7679,0.6406
241,-0.3528,0.9357
243,0.6085,0.7936
244,0.9141,0.4054
245,0.9951,-0.0988
246,0.8264,-0.5632
247,0.4405,-0.8977
248,-0.043,-0.9991
249,-0.5307,-0.8475
251,-1,0.0043
252,-0.8675,0.4975
253,-0.5234,0.8521
254,-0.0344,0.9994
255,0.4482,0.8939
256,0.8312,0.556
257,0.9959,0.0903
258,0.9106,-0.4133
259,0.6016,-0.7988
260,0.1458,-0.9893
261,-0.3617,-0.9323
262,-0.7639,-0.6453
263,-0.9829,-0.184
264,-0.9456,0.3253
265,-0.6744,0.7383
266,-0.2219,0.9751
267,0.2885,0.9575
268,0.7117,0.7025
269,0.9657,0.2595
270,0.9721,-0.2345
271,0.7296,-0.6839
272,0.3131,-0.9497
275,-0.9307,-0.3657
276,-0.9899,0.1415
277,-0.8014,0.5982
278,-0.4015,0.9159
279,0.1028,0.9947
280,0.5794,0.815
281,0.8983,0.4394
283,0.8484,-0.5294
284,0.4775,-0.8786
285,0,-1
286,-0.4775,-0.8786
287,-0.8484,-0.5294
288,-0.9982,-0.06
290,-0.5794,0.815
291,-0.1028,0.9947
292,0.4015,0.9159
293,0.8014,0.5982
294,0.9899,0.1415
295,0.9307,-0.3657
296,0.6421,-0.7667
297,0.1798,-0.9837
298,-0.3131,-0.9497
299,-0.7296,-0.6839
300,-0.9721,-0.2345
301,-0.9657,0.2595
302,-0.7236,0.6902
303,-0.2885,0.9575
304,0.2219,0.9751
305,0.6744,0.7383
306,0.9456,0.3253
307,0.9829,-0.184
308,0.7639,-0.6453
309,0.3617,-0.9323
310,-0.1458,-0.9893
312,-0.9106,-0.4133
313,-0.9959,0.0903
314,-0.8312,0.556
315,-0.4482,0.8939
316,0.0344,0.9994
317,0.5234,0.8521
318,0.8675,0.4975
319,1,0.0043
320,0.8717,-0.49
321,0.5307,-0.8475
322,0.043,-0.9991
323,-0.4405,-0.8977
324,-0.8264,-0.5632
325,-0.9951,-0.0988
326,-0.9141,0.4054
327,-0.6085,0.7936
328,-0.1373,0.9905
329,0.3528,0.9357
330,0.7679,0.6406
331,0.9806,0.1961
332,0.95,-0.3123
333,0.6855,-0.728
334,0.238,-0.9713
335,-0.2712,-0.9625
336,-0.6979,-0.7162
337,-0.9601,-0.2795
338,-0.9771,0.2129
339,-0.7454,0.6666
340,-0.3366,0.9416
341,0.1713,0.9852
343,0.9275,0.3737
344,0.9933,-0.1159
345,0.8065,-0.5913
346,0.425,-0.9052
347,-0.0774,-0.997
348,-0.5452,-0.8383
349,-0.8881,-0.4597
350,-0.9993,0.0387
351,-0.8588,0.5124
352,-0.4938,0.8696
353,-0.0172,0.9999
354,0.4787,0.878
355,0.8406,0.5416
356,0.9984,0.0559
357,0.9034,-0.4289
358,0.5878,-0.809
359,0.1117,-0.9937
360,-0.3777,-0.9259
361,-0.7856,-0.6187
362,-0.9887,-0.1501
363,-0.9399,0.3416
364,-0.6486,0.7611
365,-0.1882,0.9821
366,0.3049,0.9524
367,0.7354,0.6776
368,0.9701,0.2428
369,0.9635,-0.2678
370,0.7177,-0.6964
371,0.2967,-0.955
372,-0.2135,-0.9769
373,-0.6552,-0.7555
374,-0.9428,-0.3335
375,-0.9873,0.1586
376,-0.7803,0.6254
377,-0.3697,0.9291
378,0.1369,0.9906
379,0.5933,0.805
380,0.9128,0.4083
381,0.997,-0.0772
382,0.8297,-0.5582
383,0.4624,-0.8867
384,-0.0172,-0.9999
385,-0.5074,-0.8617
386,-0.8573,-0.5148
387,-0.9997,-0.0257
388,-0.8906,0.4548
389,-0.5511,0.8344
390,-0.0686,0.9976
391,0.4328,0.9015
392,0.8115,0.5843
393,0.9942,0.1074
394,0.9243,-0.3817
395,0.6153,-0.7883
396,0.1628,-0.9867
397,-0.3294,-0.9442
398,-0.7527,-0.6584
399,-0.976,-0.2177
400,-0.9611,0.2761
401,-0.6995,0.7147
402,-0.2554,0.9668
403,0.2554,0.9668
404,0.6871,0.7266
405,0.9562,0.2926
406,0.976,-0.2177
407,0.7527,-0.6584
409,-0.1628,-0.9867
411,-0.9243,-0.3817
413,-0.8215,0.5702
415,0.0688,0.9976
416,0.538,0.8429
417,0.8841,0.4674
418,0.9995,-0.0301
419,0.8631,-0.505
420,0.5012,-0.8653
421,0.0086,-1
422,-0.4712,-0.882
423,-0.8359,-0.5488
424,-0.9979,-0.0645
425,-0.907,0.4211
427,-0.1202,0.9927
428,0.3847,0.9231
429,0.7788,0.6273
430,0.9867,0.1624
431,0.9387,-0.3447
432,0.6602,-0.7511
433,0.2046,-0.9789
434,-0.2877,-0.9577
435,-0.7221,-0.6918
436,-0.9648,-0.263
437,-0.9692,0.2464
438,-0.7339,0.6793
439,-0.3041,0.9526
440,0.1882,0.9821
441,0.6486,0.7611
442,0.9338,0.3577
443,0.9887,-0.1501
444,0.7962,-0.6051
446,-0.1117,-0.9937
448,-0.9034,-0.4289
450,-0.8406,0.5416
452,0.0172,0.9999
453,0.4938,0.8696
454,0.8588,0.5124
455,0.9993,0.0387
456,0.8958,-0.4444
457,0.5596,-0.8288
458,0.0774,-0.997
459,-0.4094,-0.9124
460,-0.8065,-0.5913
461,-0.9911,-0.133
462,-0.9275,0.3737
463,-0.622,0.783
464,-0.1713,0.9852
465,0.3375,0.9413
466,0.747,0.6649
467,0.9778,0.2093
