"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82"
0,11,0,0,4,11,5,0,0,1,0,0,0,0,0,1,0,2,3,4,3,0,10,7,2,25,20,7,2,16,48,42,9,7,6,0,19,17,5,0,12,13,0,3,16,3,17,35,38,0,6,1,15,4,27,1,8,1,23,7,0,44,1,5,12,12,14,2,3,16,15,4,12,2,1,27,8,12,0,68,174,2
0,6,0,0,1,9,1,0,0,0,3,2,0,0,0,0,0,0,3,5,3,0,6,4,0,25,14,5,1,7,21,30,5,4,6,0,8,9,9,0,10,11,0,0,18,4,21,19,22,0,6,2,7,4,12,0,1,0,8,2,0,35,2,4,3,11,13,5,4,12,11,1,9,2,6,20,1,5,0,35,110,0
0,11,0,0,0,13,2,0,0,1,4,1,0,0,0,2,0,0,3,2,7,0,4,7,0,13,12,8,2,14,40,40,14,6,10,0,14,14,11,0,16,6,0,1,15,0,18,28,31,2,4,0,6,2,15,0,3,0,17,8,0,32,5,3,8,5,12,3,6,12,11,1,18,1,3,30,1,6,0,44,141,2
0,8,0,0,4,8,3,0,0,1,1,0,0,0,0,3,1,3,3,2,6,0,5,10,1,26,17,4,2,10,38,43,4,7,10,1,10,9,13,3,17,16,0,1,6,2,24,22,29,0,11,0,5,5,17,1,3,2,7,9,0,40,3,1,7,8,7,3,4,7,12,2,11,3,8,33,2,8,0,44,132,5
0,3,0,0,2,6,4,0,0,0,0,0,0,0,0,1,0,1,2,2,2,0,10,8,0,17,13,2,1,11,21,32,8,5,7,1,8,9,12,0,10,14,0,2,8,1,10,27,25,1,5,2,12,10,20,0,3,0,11,2,2,31,2,1,5,6,9,2,3,12,12,2,10,1,3,20,5,4,0,37,119,0
0,8,0,0,3,17,7,0,0,0,2,0,0,0,0,0,2,3,6,5,3,0,5,9,0,24,13,1,3,14,44,39,10,6,11,1,20,5,10,0,19,13,0,3,13,1,24,35,42,2,11,0,7,5,30,1,2,0,15,7,2,33,3,2,9,14,9,2,7,13,17,3,14,7,4,33,4,12,0,61,140,2
0,7,0,0,4,9,2,0,0,1,0,1,0,0,0,1,1,1,2,3,2,0,5,3,0,15,6,4,0,9,23,37,4,1,8,0,10,5,9,1,14,13,0,5,14,2,11,22,24,1,12,1,8,4,19,0,1,1,11,2,0,30,4,1,7,4,15,1,4,10,8,2,16,2,5,17,3,5,0,43,109,3
0,13,0,0,5,17,5,0,0,0,0,0,0,0,0,1,0,0,1,5,7,0,10,6,0,20,13,3,2,9,40,34,9,4,4,0,7,3,12,0,22,9,0,1,19,5,21,30,20,1,6,1,11,6,22,2,3,1,13,7,0,46,4,3,6,8,12,4,2,12,14,0,21,0,1,23,4,7,0,43,135,0
0,12,0,0,4,12,7,0,2,1,2,1,0,0,1,1,0,1,1,4,6,0,5,9,0,33,18,3,2,9,44,49,12,6,11,1,13,12,11,0,19,17,0,1,15,3,24,39,43,2,15,0,11,4,31,1,3,0,22,5,0,53,2,2,9,11,9,4,8,14,15,0,12,1,4,21,4,7,1,50,160,1
0,4,0,0,3,13,3,0,2,0,0,1,0,0,0,1,0,2,2,5,9,0,6,5,0,24,10,6,0,6,39,53,7,12,10,0,18,5,16,0,18,16,0,1,15,2,32,28,43,2,12,1,11,7,24,2,6,0,28,6,0,32,2,2,6,7,12,4,3,13,8,1,10,2,6,20,4,8,0,48,137,2
