"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82"
0,8,0,0,3,17,1,0,0,0,1,0,0,0,0,2,0,1,1,5,9,0,4,15,0,29,15,2,1,12,49,38,14,5,3,0,19,5,20,1,25,15,0,2,24,3,20,39,44,1,9,2,12,9,32,0,7,0,15,8,0,27,2,4,9,10,15,4,2,17,12,1,11,2,3,40,1,15,1,66,160,2
0,7,0,0,1,14,2,0,1,1,1,0,0,0,0,1,0,0,1,4,1,0,5,6,1,16,9,5,1,14,23,36,3,4,8,1,15,9,15,0,14,13,0,4,9,4,18,15,22,2,4,0,8,3,12,0,1,0,9,4,0,35,2,2,8,9,8,3,1,10,4,1,13,1,3,19,0,7,0,37,111,2
0,7,0,0,2,11,1,0,4,0,1,0,0,0,0,1,0,3,0,5,3,0,5,8,0,27,11,6,1,12,43,41,7,8,7,1,23,10,8,1,8,11,0,2,9,1,11,28,30,1,8,2,10,5,33,0,3,1,17,3,0,31,4,3,7,5,7,1,4,14,14,3,12,1,3,28,7,9,0,37,140,1
0,15,0,0,3,12,1,0,0,0,0,0,0,0,0,1,1,1,0,3,4,0,8,3,0,21,12,0,1,8,46,28,8,6,8,0,19,2,12,0,16,10,0,0,20,1,17,25,30,1,6,0,14,8,17,3,4,0,21,5,0,40,1,3,4,7,8,6,5,7,13,3,10,0,5,19,4,8,0,51,156,2
0,5,2,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,8,3,0,5,5,2,15,11,3,1,14,29,28,8,2,7,1,15,11,10,0,12,12,0,1,11,0,12,23,12,0,5,1,9,5,16,0,2,0,20,4,0,31,5,5,8,7,10,8,4,16,11,2,7,2,2,20,4,4,0,36,114,1
0,9,0,0,2,17,5,0,0,0,1,1,0,0,0,2,1,1,4,3,4,0,10,5,0,28,13,6,1,13,38,51,9,9,12,0,18,10,16,1,17,9,0,1,11,3,17,40,38,1,13,0,7,13,24,0,2,2,14,5,1,44,1,1,7,11,14,3,7,16,14,1,6,1,3,29,4,9,0,46,163,4
0,3,0,0,1,11,3,0,1,0,1,0,0,0,0,2,0,0,0,3,7,0,1,4,0,19,6,2,0,8,31,30,7,4,1,0,11,2,7,2,19,7,0,2,15,5,8,22,28,0,3,0,6,5,24,1,2,0,12,5,0,24,4,6,4,7,7,3,2,8,13,2,8,1,5,28,3,4,0,41,126,1
0,11,0,0,4,13,3,0,0,0,0,0,0,0,0,2,1,3,1,5,3,0,3,6,0,26,17,0,0,15,41,45,7,6,9,0,20,5,10,1,23,7,0,1,14,3,12,29,28,2,6,2,7,5,25,0,3,2,22,5,0,33,2,5,9,9,8,3,5,7,11,0,10,0,4,25,4,11,0,50,125,1
0,17,0,0,1,16,2,0,2,0,0,1,0,0,0,2,3,1,2,4,8,0,9,8,2,27,12,2,3,15,44,48,10,4,6,1,19,5,15,0,22,13,0,2,20,4,28,31,44,3,4,0,12,7,34,1,5,0,24,6,0,37,2,3,6,7,10,8,2,12,14,2,11,1,6,29,4,14,0,50,166,3
0,8,0,0,2,16,5,0,1,0,1,0,0,0,0,2,0,2,4,1,5,0,3,5,0,29,18,7,2,14,38,56,4,2,9,2,16,8,18,0,18,13,0,0,14,3,15,31,44,3,4,2,13,7,31,1,4,0,7,4,1,32,5,1,5,11,10,4,1,13,8,2,16,0,0,23,5,5,0,47,158,4
1,4,0,0,2,16,2,0,1,0,0,0,0,0,0,1,0,2,3,6,5,0,3,12,1,22,13,4,1,9,37,31,10,6,9,1,13,9,14,0,16,12,0,3,13,4,21,40,33,0,8,1,10,4,18,0,1,0,11,12,2,33,4,4,3,9,12,3,7,10,14,1,16,2,7,38,0,3,0,51,146,1
0,5,0,0,3,12,6,0,0,2,0,0,0,0,0,0,1,2,1,3,5,0,5,8,0,23,16,4,2,10,23,33,6,6,11,0,14,5,12,0,20,9,0,1,9,2,16,27,22,3,5,1,11,4,27,1,6,0,21,13,1,40,3,1,3,7,9,4,5,9,13,3,11,2,8,33,2,11,0,43,131,0
0,3,0,0,3,18,4,0,1,1,0,1,0,0,0,0,0,0,1,4,1,0,9,6,1,30,16,5,2,16,29,29,8,4,8,0,13,9,8,1,23,8,1,1,9,2,21,29,33,2,4,0,10,8,24,2,2,0,14,4,1,27,4,2,7,4,11,3,4,14,13,0,7,1,1,27,3,11,0,38,124,1
0,4,0,0,3,6,3,0,2,0,1,0,0,0,0,4,0,2,1,3,6,0,2,4,1,16,4,3,2,8,38,38,10,8,8,0,9,6,8,0,17,5,1,1,11,3,13,26,33,1,5,0,9,3,16,0,1,1,15,5,2,24,3,2,4,8,10,1,2,13,8,2,10,1,2,13,4,7,0,33,106,0
0,13,0,0,0,8,3,1,2,0,0,3,0,0,0,0,0,1,1,2,3,0,3,8,0,22,16,5,1,17,20,27,4,7,10,0,17,4,14,0,13,10,0,4,9,1,11,21,25,2,8,1,8,1,19,1,2,0,11,3,0,24,3,2,1,9,6,4,2,12,9,1,11,1,4,19,5,2,0,36,119,1
0,9,0,0,2,10,4,0,0,0,1,0,0,0,0,1,2,0,1,5,3,0,3,4,1,13,17,3,3,3,37,29,8,8,8,0,13,9,10,0,22,12,0,1,13,4,10,29,35,1,6,2,7,9,24,0,3,0,19,5,0,30,5,7,3,6,10,4,2,12,7,4,12,2,3,17,3,5,1,37,100,1
0,10,0,1,1,14,7,0,0,0,0,3,0,0,0,1,1,1,3,5,2,1,6,8,1,19,9,4,0,6,29,38,6,8,8,0,15,6,9,2,15,14,0,1,8,0,16,23,27,2,6,1,9,6,16,0,0,0,7,4,0,27,5,2,10,3,11,0,0,15,15,4,10,0,4,29,4,6,0,46,137,0
1,4,0,0,3,10,1,0,1,0,0,0,0,0,0,2,1,1,1,1,3,0,2,3,0,17,13,5,1,8,27,33,12,2,3,1,10,1,7,0,12,7,0,1,9,2,11,15,22,0,4,1,6,2,21,2,1,0,11,4,1,25,3,2,2,1,9,3,4,8,9,1,9,1,4,16,3,11,0,46,82,1
0,7,0,0,0,11,2,0,0,0,0,0,0,0,0,0,1,2,0,4,6,0,3,3,1,8,5,2,5,5,17,22,5,6,2,1,4,2,2,0,2,9,0,1,4,1,15,16,12,1,7,0,2,5,14,0,1,0,7,1,0,19,4,3,5,2,8,3,1,10,6,1,5,1,4,26,3,7,0,28,76,0
0,2,0,0,5,8,4,0,0,1,0,0,0,0,0,3,0,1,1,1,6,0,5,7,0,9,2,0,0,6,33,28,4,6,6,0,9,4,9,0,20,6,0,4,14,3,13,20,21,3,3,0,4,3,15,0,1,0,7,3,0,17,1,1,4,8,10,1,3,14,10,2,7,1,0,19,1,4,0,25,97,1
0,4,0,0,3,11,2,0,1,0,0,1,0,0,0,0,1,0,1,3,2,0,3,7,0,13,6,3,0,11,32,27,6,3,7,1,10,3,6,1,11,7,0,1,11,1,5,15,16,5,1,2,8,4,15,2,1,0,11,1,0,23,0,3,7,1,2,1,3,7,7,0,9,1,3,17,4,3,0,24,93,0
0,8,0,0,1,8,4,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,1,4,1,12,5,2,1,5,18,25,3,2,3,0,7,3,3,0,11,3,0,1,9,0,11,13,15,1,5,0,7,5,12,1,1,1,10,1,0,19,5,1,4,7,5,0,0,5,2,1,10,1,3,13,3,2,1,28,100,0
0,4,0,0,4,6,3,0,1,0,0,1,1,0,0,0,1,0,3,3,1,0,1,2,2,11,2,1,0,1,19,22,8,3,2,1,14,7,5,1,16,9,0,1,12,1,9,23,24,0,4,0,6,4,19,1,2,1,9,2,1,20,2,2,9,4,6,2,1,5,6,1,7,1,5,14,2,5,0,25,74,0
