"","route","region","matssname","complete","n_missing","prop_missing"
"1",1,4,"bbs_rtrg_ 1 _ 4",FALSE,28,0.622222222222222
"2",2,4,"bbs_rtrg_ 2 _ 4",FALSE,10,0.204081632653061
"3",3,4,"bbs_rtrg_ 3 _ 4",FALSE,7,0.145833333333333
"4",4,4,"bbs_rtrg_ 4 _ 4",FALSE,13,0.276595744680851
"5",6,4,"bbs_rtrg_ 6 _ 4",FALSE,19,0.404255319148936
"6",7,4,"bbs_rtrg_ 7 _ 4",FALSE,4,0.0930232558139535
"7",8,4,"bbs_rtrg_ 8 _ 4",FALSE,1,0.0833333333333333
"8",9,4,"bbs_rtrg_ 9 _ 4",FALSE,2,0.0416666666666667
"9",10,4,"bbs_rtrg_ 10 _ 4",FALSE,6,0.130434782608696
"10",11,4,"bbs_rtrg_ 11 _ 4",FALSE,27,0.574468085106383
"11",12,4,"bbs_rtrg_ 12 _ 4",FALSE,19,0.542857142857143
"12",13,4,"bbs_rtrg_ 13 _ 4",FALSE,9,0.183673469387755
"13",14,4,"bbs_rtrg_ 14 _ 4",FALSE,9,0.214285714285714
"14",15,4,"bbs_rtrg_ 15 _ 4",FALSE,11,0.234042553191489
"15",16,4,"bbs_rtrg_ 16 _ 4",FALSE,4,0.148148148148148
"16",17,4,"bbs_rtrg_ 17 _ 4",FALSE,8,0.19047619047619
"17",18,4,"bbs_rtrg_ 18 _ 4",FALSE,8,0.177777777777778
"18",19,4,"bbs_rtrg_ 19 _ 4",FALSE,17,0.386363636363636
"19",20,4,"bbs_rtrg_ 20 _ 4",FALSE,4,0.0833333333333333
"20",21,4,"bbs_rtrg_ 21 _ 4",FALSE,10,0.416666666666667
"21",22,4,"bbs_rtrg_ 22 _ 4",FALSE,3,0.0625
"22",24,4,"bbs_rtrg_ 24 _ 4",FALSE,16,0.355555555555556
"23",25,4,"bbs_rtrg_ 25 _ 4",FALSE,17,0.377777777777778
"24",26,4,"bbs_rtrg_ 26 _ 4",FALSE,8,0.173913043478261
"25",27,4,"bbs_rtrg_ 27 _ 4",FALSE,4,0.0930232558139535
"26",28,4,"bbs_rtrg_ 28 _ 4",FALSE,6,0.12
"27",29,4,"bbs_rtrg_ 29 _ 4",FALSE,5,0.106382978723404
"28",30,4,"bbs_rtrg_ 30 _ 4",FALSE,12,0.272727272727273
"29",31,4,"bbs_rtrg_ 31 _ 4",FALSE,18,0.36
"30",32,4,"bbs_rtrg_ 32 _ 4",FALSE,15,0.405405405405405
"31",33,4,"bbs_rtrg_ 33 _ 4",FALSE,8,0.275862068965517
"32",34,4,"bbs_rtrg_ 34 _ 4",FALSE,28,0.622222222222222
"33",36,4,"bbs_rtrg_ 36 _ 4",FALSE,22,0.55
"34",37,4,"bbs_rtrg_ 37 _ 4",FALSE,18,0.4
"35",38,4,"bbs_rtrg_ 38 _ 4",FALSE,8,0.333333333333333
"36",39,4,"bbs_rtrg_ 39 _ 4",FALSE,2,0.0769230769230769
"37",40,4,"bbs_rtrg_ 40 _ 4",FALSE,3,0.06
"38",42,4,"bbs_rtrg_ 42 _ 4",FALSE,7,0.291666666666667
"39",44,4,"bbs_rtrg_ 44 _ 4",FALSE,5,0.294117647058824
"40",49,4,"bbs_rtrg_ 49 _ 4",FALSE,2,0.0909090909090909
"41",50,4,"bbs_rtrg_ 50 _ 4",FALSE,12,0.292682926829268
