"V1","V2","V3","V4","V5","V6","V7"
1,4,7,5,8,119,155
2,4,8,4,9,148,130
2,2,9,3,9,142,160
4,2,11,1,12,133,137
4,3,12,0,9,138,123
5,0,1,10,122,42,29
3,0,2,11,107,56,26
2,0,2,12,129,55,26
1,0,2,12,142,39,25
0,0,3,15,101,41,26
0,0,3,16,121,55,23
0,0,3,13,126,43,20
0,0,3,15,135,46,19
0,0,4,21,105,39,21
0,0,3,19,146,37,19
0,0,4,21,150,36,21
0,0,4,22,138,34,19
0,0,5,18,133,49,15
0,0,5,26,161,42,19
0,0,6,25,116,33,18
0,0,5,30,121,40,16
0,0,5,28,122,40,14
0,0,5,27,168,38,16
0,0,6,29,169,41,14
0,0,5,34,121,38,14
0,0,7,29,160,29,12
0,0,7,26,121,30,13
0,0,5,33,180,40,9
0,0,7,36,140,35,12
0,0,6,39,164,29,9
