"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,100,23,-476.567630290475,1,"1"
"2",2,2,0,100,23,-296.892847326864,1,"2"
"3",2,2,0,100,23,-334.45218065617,1,"3"
"4",2,2,0,100,23,-369.991683765189,1,"4"
"5",2,2,0,100,23,-374.241204461937,1,"5"
"6",2,2,0,100,23,-365.997522717405,1,"6"
"7",2,2,0,100,23,-249.979444301807,1,"7"
"8",2,2,0,100,23,-320.079901829424,1,"8"
"9",2,2,0,100,23,-320.681877402029,1,"9"
"10",2,2,0,100,23,-334.711148441651,1,"10"
"11",2,2,0,100,23,-235.337605739713,1,"11"
"12",2,2,0,100,23,-230.167080230874,1,"12"
"13",2,2,0,100,23,-287.608254964098,1,"13"
"14",2,2,0,100,23,-217.735778477274,1,"14"
"15",2,2,0,100,23,-214.071669931068,1,"15"
"16",2,2,0,100,23,-195.90337577679,1,"16"
"17",2,2,0,100,23,-294.623141556955,1,"17"
"18",2,2,0,100,23,-337.576972733239,1,"18"
"19",2,2,0,100,23,-373.28745869032,1,"19"
"20",2,2,0,100,23,-324.62723414078,1,"20"
"21",2,2,0,100,23,-318.989481934999,1,"21"
"22",2,2,0,100,23,-329.33240266425,1,"22"
"23",2,2,0,100,23,-277.810183323679,1,"23"
"24",2,2,1,100,23,-399.703206328073,1,"1"
"25",2,2,1,100,23,-239.223735851569,1,"2"
"26",2,2,1,100,23,-291.644067696911,1,"3"
"27",2,2,1,100,23,-297.69846655268,1,"4"
"28",2,2,1,100,23,-298.430139460505,1,"5"
"29",2,2,1,100,23,-271.989816555352,1,"6"
"30",2,2,1,100,23,-219.343696937747,1,"7"
"31",2,2,1,100,23,-307.375966070548,1,"8"
"32",2,2,1,100,23,-364.185118212672,1,"9"
"33",2,2,1,100,23,-329.570060078331,1,"10"
"34",2,2,1,100,23,-271.11240613389,1,"11"
"35",2,2,1,100,23,-272.551079239406,1,"12"
"36",2,2,1,100,23,-346.597233440172,1,"13"
"37",2,2,1,100,23,-285.595179771605,1,"14"
"38",2,2,1,100,23,-266.094192905632,1,"15"
"39",2,2,1,100,23,-243.465025330325,1,"16"
"40",2,2,1,100,23,-352.876543188024,1,"17"
"41",2,2,1,100,23,-292.990794768818,1,"18"
"42",2,2,1,100,23,-328.421901753361,1,"19"
"43",2,2,1,100,23,-284.991955186155,1,"20"
"44",2,2,1,100,23,-284.36911787002,1,"21"
"45",2,2,1,100,23,-296.922273212335,1,"22"
"46",2,2,1,100,23,-224.444454574938,1,"23"
