"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,1000,40,-95.9687410949613,1,"1"
"2",2,2,0,1000,40,-514.565696441397,1,"2"
"3",2,2,0,1000,40,-422.327723250018,1,"3"
"4",2,2,0,1000,40,-556.00427074264,1,"4"
"5",2,2,0,1000,40,-543.205675800643,1,"5"
"6",2,2,0,1000,40,-206.008598655716,1,"6"
"7",2,2,0,1000,40,-324.706549579489,1,"7"
"8",2,2,0,1000,40,-296.655547457929,1,"8"
"9",2,2,0,1000,40,-486.504442427583,1,"9"
"10",2,2,0,1000,40,-244.578749208735,1,"10"
"11",2,2,0,1000,40,-328.769011357012,1,"11"
"12",2,2,0,1000,40,-291.90038682265,1,"12"
"13",2,2,0,1000,40,-192.132611106535,1,"13"
"14",2,2,0,1000,40,-126.776564664809,1,"14"
"15",2,2,0,1000,40,-117.877185943112,1,"15"
"16",2,2,0,1000,40,-142.4999201734,1,"16"
"17",2,2,0,1000,40,-213.707598474446,1,"17"
"18",2,2,0,1000,40,-244.626622132179,1,"18"
"19",2,2,0,1000,40,-243.260688370045,1,"19"
"20",2,2,0,1000,40,-159.796333121581,1,"20"
"21",2,2,0,1000,40,-79.4650285635817,1,"21"
"22",2,2,0,1000,40,-280.045427552144,1,"22"
"23",2,2,0,1000,40,-164.340088691504,1,"23"
"24",2,2,0,1000,40,-342.703755814121,1,"24"
"25",2,2,0,1000,40,-486.67660359108,1,"25"
"26",2,2,0,1000,40,-172.302960938547,1,"26"
"27",2,2,0,1000,40,-569.620188512764,1,"27"
"28",2,2,0,1000,40,-512.679455379674,1,"28"
"29",2,2,0,1000,40,-1171.72178596954,1,"29"
"30",2,2,0,1000,40,-405.653532155813,1,"30"
"31",2,2,0,1000,40,-161.685618432448,1,"31"
"32",2,2,0,1000,40,-114.339607939213,1,"32"
"33",2,2,0,1000,40,-428.084423869364,1,"33"
"34",2,2,0,1000,40,-585.962585962506,1,"34"
"35",2,2,0,1000,40,-263.768973931717,1,"35"
"36",2,2,0,1000,40,-457.415088462185,1,"36"
"37",2,2,0,1000,40,-662.413074556305,1,"37"
"38",2,2,0,1000,40,-177.11637209407,1,"38"
"39",2,2,0,1000,40,-260.156554968571,1,"39"
"40",2,2,0,1000,40,-140.529010526299,1,"40"
"41",3,2,0,1000,40,-104.372339116577,1,"1"
"42",3,2,0,1000,40,-594.849630287415,1,"2"
"43",3,2,0,1000,40,-509.499943865079,1,"3"
"44",3,2,0,1000,40,-646.743914002926,1,"4"
"45",3,2,0,1000,40,-601.842795734829,1,"5"
"46",3,2,0,1000,40,-210.25890918314,1,"6"
"47",3,2,0,1000,40,-324.754475892836,1,"7"
"48",3,2,0,1000,40,-299.219938978604,1,"8"
"49",3,2,0,1000,40,-496.213647879435,1,"9"
