"","k","seed","ncpts","nit","aicc"
"1",2,2,0,100,33.7195329356351
"2",3,2,0,100,54.6688867543704
"3",4,2,0,100,70.444771755031
"4",5,2,0,100,81.2030643455319
"5",6,2,0,100,94.1907058028016
"6",7,2,0,100,101.697408143949
"7",8,2,0,100,113.572394814522
"8",9,2,0,100,124.354788080276
"9",10,2,0,100,134.346904822993
"10",11,2,0,100,146.115060936643
"11",12,2,0,100,157.154443535456
"12",13,2,0,100,170.797086057628
"13",14,2,0,100,186.147302788358
"14",15,2,0,100,202.956861292249
"15",2,4,0,100,34.0303166300281
"16",3,4,0,100,55.0929262889984
"17",4,4,0,100,69.7941756233032
"18",5,4,0,100,82.9971127826887
"19",6,4,0,100,92.9319178145953
"20",7,4,0,100,104.91721586975
"21",8,4,0,100,112.827989584152
"22",9,4,0,100,122.285670727438
"23",10,4,0,100,133.87424044774
"24",11,4,0,100,144.272764127969
"25",12,4,0,100,156.221642714536
"26",13,4,0,100,168.817444021866
"27",14,4,0,100,183.393304977846
"28",15,4,0,100,201.078682994233
"29",2,6,0,100,33.470824514041
"30",3,6,0,100,54.8872092229935
"31",4,6,0,100,70.5692980235208
"32",5,6,0,100,79.5080495684985
"33",6,6,0,100,90.2034426719029
"34",7,6,0,100,102.5990467209
"35",8,6,0,100,114.18039997175
"36",9,6,0,100,124.443688733137
"37",10,6,0,100,136.290181730469
"38",11,6,0,100,146.963314818838
"39",12,6,0,100,157.99107831006
"40",13,6,0,100,170.549179911014
"41",14,6,0,100,184.361719295181
"42",15,6,0,100,201.982050436335
"43",2,8,0,100,33.8658076544513
"44",3,8,0,100,54.9917660722864
"45",4,8,0,100,70.9390890489841
"46",5,8,0,100,83.2372905582244
"47",6,8,0,100,93.9957299834762
"48",7,8,0,100,105.780172960936
"49",8,8,0,100,116.219439999187
"50",9,8,0,100,122.785408509878
"51",10,8,0,100,134.356829772403
"52",11,8,0,100,145.456930127137
"53",12,8,0,100,158.400445482966
"54",13,8,0,100,170.007835886064
"55",14,8,0,100,183.392581599859
"56",15,8,0,100,202.488287733647
"57",2,10,0,100,33.0932432626948
"58",3,10,0,100,54.9930479744174
"59",4,10,0,100,70.5546489556879
"60",5,10,0,100,82.2072390334166
"61",6,10,0,100,93.4663154392353
"62",7,10,0,100,103.604506482499
"63",8,10,0,100,111.914014864438
"64",9,10,0,100,124.38984812259
"65",10,10,0,100,134.907726557574
"66",11,10,0,100,145.122406154842
"67",12,10,0,100,155.859617938304
"68",13,10,0,100,169.700847088915
"69",14,10,0,100,184.733168926731
"70",15,10,0,100,201.194662518478
"71",2,12,0,100,33.7471267982309
