"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,1000,20,-314.787948123199,2,"8, 20"
"2",2,2,0,1000,20,-356.403996937667,2,"22, 3"
"3",2,2,0,1000,20,-325.618543815668,2,"18, 25"
"4",2,2,0,1000,20,-315.674421615717,2,"15, 7"
"5",2,2,0,1000,20,-396.147614753216,2,"22, 2"
"6",2,2,0,1000,20,-303.482289522501,2,"5, 11"
"7",2,2,0,1000,20,-302.631818604997,2,"11, 3"
"8",2,2,0,1000,20,-297.347081115051,2,"11, 24"
"9",2,2,0,1000,20,-350.499706869207,2,"2, 16"
"10",2,2,0,1000,20,-342.269749295921,2,"2, 11"
"11",2,2,0,1000,20,-302.363527453246,2,"8, 16"
"12",2,2,0,1000,20,-353.362050968278,2,"17, 2"
"13",2,2,0,1000,20,-304.756013410954,2,"15, 5"
"14",2,2,0,1000,20,-305.351458962318,2,"25, 6"
"15",2,2,0,1000,20,-334.179167692754,2,"22, 11"
"16",2,2,0,1000,20,-298.020725077048,2,"11, 25"
"17",2,2,0,1000,20,-295.441297062196,2,"19, 24"
"18",2,2,0,1000,20,-318.130307008593,2,"20, 13"
"19",2,2,0,1000,20,-387.6094747962,2,"21, 2"
"20",2,2,0,1000,20,-291.861577053129,2,"8, 19"
"21",3,2,0,1000,20,-316.910713822096,2,"8, 20"
"22",3,2,0,1000,20,-354.480395182938,2,"22, 3"
"23",3,2,0,1000,20,-347.709964637166,2,"18, 25"
"24",3,2,0,1000,20,-319.065119900396,2,"15, 7"
"25",3,2,0,1000,20,-397.681140534804,2,"22, 2"
"26",3,2,0,1000,20,-325.399040441157,2,"5, 11"
"27",3,2,0,1000,20,-332.567437515354,2,"11, 3"
"28",3,2,0,1000,20,-303.989647253457,2,"11, 24"
"29",3,2,0,1000,20,-363.181352960841,2,"2, 16"
"30",3,2,0,1000,20,-372.327236483906,2,"2, 11"
"31",3,2,0,1000,20,-302.904911068004,2,"8, 16"
"32",3,2,0,1000,20,-361.106405333927,2,"17, 2"
"33",3,2,0,1000,20,-310.076319776867,2,"15, 5"
"34",3,2,0,1000,20,-305.35547808347,2,"25, 6"
"35",3,2,0,1000,20,-351.975263484256,2,"22, 11"
"36",3,2,0,1000,20,-300.370826043285,2,"11, 25"
"37",3,2,0,1000,20,-321.511880143899,2,"19, 24"
"38",3,2,0,1000,20,-327.535699375506,2,"20, 13"
"39",3,2,0,1000,20,-388.153383455616,2,"21, 2"
"40",3,2,0,1000,20,-291.696838359117,2,"8, 19"
"41",4,2,0,1000,20,-319.149230002692,2,"8, 20"
"42",4,2,0,1000,20,-363.883909948414,2,"22, 3"
"43",4,2,0,1000,20,-347.223237608166,2,"18, 25"
"44",4,2,0,1000,20,-321.946465999948,2,"15, 7"
"45",4,2,0,1000,20,-410.158394880256,2,"22, 2"
"46",4,2,0,1000,20,-326.388566423974,2,"5, 11"
"47",4,2,0,1000,20,-328.91527282046,2,"11, 3"
"48",4,2,0,1000,20,-307.332503735491,2,"11, 24"
"49",4,2,0,1000,20,-368.650065431746,2,"2, 16"
"50",4,2,0,1000,20,-371.505109241238,2,"2, 11"
"51",4,2,0,1000,20,-312.162377433106,2,"8, 16"
"52",4,2,0,1000,20,-369.070316772711,2,"17, 2"
"53",4,2,0,1000,20,-312.760859698637,2,"15, 5"
"54",4,2,0,1000,20,-304.822852711284,2,"25, 6"
"55",4,2,0,1000,20,-357.346375271614,2,"22, 11"
"56",4,2,0,1000,20,-303.089624888646,2,"11, 25"
"57",4,2,0,1000,20,-319.513457883173,2,"19, 24"
"58",4,2,0,1000,20,-329.499398537228,2,"20, 13"
"59",4,2,0,1000,20,-398.382264099794,2,"21, 2"
