"V1","V2","V3","V4","V5","V6","V7"
47,27,34,27,8,22,22
27,44,39,26,24,38,36
18,18,33,39,26,41,34
19,33,12,49,56,23,13
36,26,62,28,38,28,17
31,2,49,30,59,35,18
37,15,10,32,22,28,29
20,20,26,45,6,37,33
43,24,33,32,20,45,45
38,51,36,10,20,11,21
19,29,15,30,19,53,38
41,34,52,19,21,49,19
25,22,24,24,35,26,21
47,25,26,27,38,27,28
18,23,29,20,36,6,32
6,24,21,19,27,1,45
4,21,12,17,58,28,10
5,35,28,24,15,7,13
42,19,8,55,34,25,43
41,19,60,24,8,26,31
61,30,35,27,23,28,39
58,43,45,10,42,31,7
36,26,49,17,22,15,26
34,18,40,11,13,49,14
34,23,34,52,51,23,0
64,38,36,28,35,26,34
22,8,42,50,24,10,37
27,3,28,19,23,12,54
23,5,31,32,14,0,19
36,27,27,36,11,44,28
