"V1","V2","V3","V4","V5","V6","V7"
35,92,13,32,85,18,36
14,33,9,14,33,7,13
33,61,14,28,65,11,27
34,65,12,28,91,14,26
27,53,10,20,68,10,22
41,97,18,39,82,14,30
31,87,17,30,93,17,34
26,54,13,22,66,13,27
25,77,14,27,74,11,32
26,53,9,25,65,11,22
17,36,9,17,47,7,13
15,45,10,18,39,7,19
25,52,9,19,52,11,18
20,46,10,23,46,11,22
24,52,11,23,52,11,30
28,52,10,26,69,14,19
17,49,8,16,44,8,18
29,45,87,27,5,11,8
21,50,95,37,4,10,9
15,23,45,21,3,5,6
29,51,96,29,5,9,11
20,26,76,27,3,9,7
22,36,71,24,4,7,7
16,26,75,24,4,7,9
15,29,54,20,3,7,8
20,33,103,36,6,9,9
29,51,113,37,7,10,12
28,48,73,27,4,10,11
25,49,121,34,5,12,9
19,34,66,27,3,7,8
